Temp,Humd,Label
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,35.0,1
,,1
25.0,35.0,1
25.0,35.0,1
25.0,35.0,1
25.0,35.0,1
25.0,35.0,1
25.0,35.0,1
25.0,35.0,1
25.0,35.0,1
25.0,35.0,1
25.0,35.0,1
25.0,35.0,1
25.0,35.0,1
25.0,34.0,1
25.0,35.0,1
25.0,39.0,1
25.0,41.0,1
26.0,46.0,1
26.0,47.0,1
27.0,52.0,1
27.0,54.0,1
28.0,56.0,1
28.0,56.0,1
28.0,52.0,1
28.0,52.0,1
28.0,55.0,1
28.0,56.0,1
29.0,53.0,1
29.0,49.0,1
29.0,48.0,1
29.0,46.0,1
29.0,46.0,1
28.0,43.0,1
28.0,43.0,1
28.0,42.0,1
28.0,41.0,1
28.0,40.0,1
28.0,40.0,1
28.0,39.0,1
28.0,39.0,1
28.0,38.0,1
28.0,38.0,1
28.0,38.0,1
28.0,37.0,1
28.0,37.0,1
28.0,37.0,1
28.0,36.0,1
28.0,36.0,1
28.0,36.0,1
28.0,36.0,1
28.0,35.0,1
28.0,35.0,1
28.0,35.0,1
28.0,35.0,1
28.0,34.0,1
28.0,34.0,1
27.0,35.0,1
27.0,35.0,1
27.0,35.0,1
27.0,35.0,1
27.0,34.0,1
27.0,34.0,1
27.0,34.0,1
27.0,34.0,1
27.0,34.0,1
27.0,34.0,1
27.0,34.0,1
27.0,34.0,1
27.0,34.0,1
27.0,34.0,1
27.0,34.0,1
27.0,34.0,1
27.0,34.0,1
27.0,34.0,1
27.0,34.0,1
27.0,34.0,1
27.0,34.0,1
27.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,34.0,1
26.0,35.0,1
